room_type,segment,area_m2,ceiling_h,budget,required_lux,total_lumens,fixtures_count,fixture_type,fixture_lm,purpose,country,model_name,price_rub,norm_ref
Холодильный склад,industrial,90,4.1,24336,155,14717,3,Пылевлагозащищённый (IP65),4708,Холодильный склад,США,Philips WV10661,6355,СП 52.13330.2016
Обеденный зал (ресторан/столовая),administrative,58,12.0,11917,215,18081,5,Потолочный,3056,Обеденный зал (ресторан/столовая),Италия,ProLED PY15923,1680,СНиП 23-05-95
Кухня,domestic,17,3.0,1605,195,3315,1,Потолочный,3332,Кухня,Турция,EcoLight HV12338,1499,СП 52.13330.2016
Спальня,domestic,24,2.8,1469,154,3696,1,Потолочный,2608,Спальня,Тайвань,EcoLight NW16364,1173,СП 52.13330.2016
Парковка,outdoor,346,0.0,15579,50,17300,1,Прожектор,10818,Парковка,Россия,Андромеда JA1468,14063,СП 52.13330.2016
Стадион,outdoor,2106,0.0,602347,201,423306,26,Прожектор,16239,Стадион,Германия,Андромеда SP15091,21110,СНиП 23-05-95
Офис,administrative,47,5.2,19482,511,26658,8,Подвесной,3204,Офис,Германия,ProLED QX15696,2290,СП 52.13330.2016
Цех деревообработки,industrial,382,4.2,180096,275,111353,5,Промышленный (High-bay),18817,Цех деревообработки,Италия,Феникс UK16271,28225,СП 52.13330.2016
Стадион,outdoor,8534,0.0,2690211,200,1706800,185,Консольный,9189,Стадион,Франция,StreetLine HR9384,11118,СНиП 23-05-95
Сцена театра,administrative,194,12.9,271015,965,279878,91,Подвесной,3051,Сцена театра,Россия,ProLED IX4764,2181,СНиП 23-05-95
Аварийный выход,outdoor,20,0.0,219,53,1060,2,Аварийный,387,Аварийный выход,Германия,StreetLine RR9999,106,ГОСТ Р 55710-2013
Улица,outdoor,396,0.0,36122,105,41580,5,Парковый фонарь,7689,Улица,Турция,MarketLED TH8676,6535,СП 52.13330.2016
Фойе театра/кинотеатра,administrative,195,7.8,34721,145,35061,10,Подвесной,3465,Фойе театра/кинотеатра,Турция,MaxLight UN17421,2702,СП 52.13330.2016
Зал театра,administrative,557,3.6,73710,205,117610,47,Потолочный,2502,Зал театра,США,ProLED JF1518,1376,СНиП 23-05-95
Производственные (общее),industrial,689,6.9,453912,225,185254,13,Взрывозащищённый,13348,Производственные (общее),Тайвань,Феникс HX4763,24026,СП 52.13330.2016
Кафе,administrative,58,3.0,11080,324,18792,5,Потолочный,3357,Кафе,США,OptiLight RE19482,1846,СП 52.13330.2016
Стадион,outdoor,16220,0.0,5436330,194,3146680,250,Прожектор,12566,Стадион,Корея,SafeExit NJ16293,15079,СНиП 23-05-95
Стадион,outdoor,9719,0.0,3027654,219,2128461,108,Прожектор,19576,Стадион,Германия,MarketLED WP2746,19576,СНиП 23-05-95
Музейный зал,administrative,420,4.5,176006,416,187824,91,Встраиваемый,2050,Музейный зал,Франция,ProLED ET1495,1353,СП 52.13330.2016
Зал театра,administrative,493,7.4,68255,212,127509,63,Настенный линейный,1996,Зал театра,Франция,ZetaLED KA8425,1077,СНиП 23-05-95
Стадион,outdoor,7901,0.0,2606351,189,1493289,131,Консольный,11395,Стадион,Франция,Oculus NB14691,13787,СНиП 23-05-95
Стадион,outdoor,9836,0.0,2613468,192,1888512,191,Консольный,9886,Стадион,Россия,SafeExit WL3591,13049,СНиП 23-05-95
Электромонтажный цех,industrial,162,9.3,91627,364,77542,18,Пылевлагозащищённый (IP65),4125,Электромонтажный цех,США,TechnoLight VR12218,4826,СП 52.13330.2016
Жилое помещение,domestic,18,3.0,2411,205,3690,1,Потолочный,3237,Жилое помещение,США,HomeLight XN5175,1618,СанПиН 2.2.1
Аварийный выход,outdoor,5,0.0,621,45,225,1,Настенный линейный,1104,Аварийный выход,США,SafeExit RL4151,596,ГОСТ Р 55710-2013
Санузел,domestic,5,3.0,4023,47,235,1,Пылевлагозащищённый (IP65),3583,Санузел,Тайвань,LumenPro XB4941,3547,СП 52.13330.2016
Коридор (жилой),domestic,9,2.7,577,28,252,1,Настенный линейный,1031,Коридор (жилой),Китай,HomeLight IY12530,463,СП 52.13330.2016
Зал кинотеатра,administrative,367,8.1,17816,52,23950,21,Настенный линейный,1131,Зал кинотеатра,Корея,ZetaLED XY18485,610,СНиП 23-05-95
Цех деревообработки,industrial,607,6.3,351389,286,202246,15,Прожектор,13356,Цех деревообработки,США,СветТех KE19553,16027,СП 52.13330.2016
Производственные (общее),industrial,954,9.4,829930,259,326153,27,Взрывозащищённый,11917,Производственные (общее),Россия,Osram PX19202,25025,СП 52.13330.2016
Балкон/лоджия,domestic,4,3.0,5613,100,400,1,Пылевлагозащищённый (IP65),4476,Балкон/лоджия,Франция,HomeLight PA7700,4028,СП 52.13330.2016
Кафе,administrative,91,10.8,33369,314,39717,10,Подвесной,3683,Кафе,США,ПроСвет BR9507,2393,СП 52.13330.2016
Стадион,outdoor,12459,0.0,3885360,207,2579013,228,Консольный,11296,Стадион,Германия,SafeExit HO302,14910,СНиП 23-05-95
Лестничная клетка,outdoor,38,0.0,400,36,1368,5,Аварийный,260,Лестничная клетка,Россия,MarketLED MF2608,65,СП 52.13330.2016
Производственные (точные работы),industrial,307,10.9,191300,484,207280,92,Встраиваемый,2251,Производственные (точные работы),Турция,Osram VF17998,1890,СП 52.13330.2016
Жилое помещение,domestic,12,3.0,734,189,2268,2,Настенный (бра),887,Жилое помещение,Россия,HomeLight AJ3474,266,СанПиН 2.2.1
Торговый зал,industrial,83,6.6,73092,819,80212,35,Встраиваемый,2244,Торговый зал,Тайвань,LuxPro TV13752,1750,СНиП 23-05-95
Сад/парк,outdoor,2461,0.0,113297,31,76291,9,Консольный,8412,Сад/парк,Корея,MarketLED XM1128,9253,СП 52.13330.2016
Офис,administrative,60,4.5,23200,486,31347,11,Потолочный,2848,Офис,США,ZetaLED VO4998,1708,СП 52.13330.2016
Склад,industrial,552,4.6,152162,181,107904,6,Промышленный (High-bay),15861,Склад,Франция,СветТех OD10606,23791,СП 52.13330.2016
Жилое помещение,domestic,13,2.9,1714,192,2496,1,Потолочный,3030,Жилое помещение,Турция,Зенит FA9279,1515,СанПиН 2.2.1
Кухня,domestic,12,2.8,1785,182,2184,1,Встраиваемый,2902,Кухня,Турция,Зенит RP13280,1741,СП 52.13330.2016
Балкон/лоджия,domestic,5,3.0,5840,92,460,1,Пылевлагозащищённый (IP65),4242,Балкон/лоджия,Китай,BrightLine PB11755,4199,СП 52.13330.2016
Обеденный зал (ресторан/столовая),administrative,65,3.0,8096,213,13845,4,Потолочный,2841,Обеденный зал (ресторан/столовая),США,ПроСвет VD7405,1420,СНиП 23-05-95
Зал театра,administrative,209,9.0,31172,192,52166,27,Настенный линейный,1922,Зал театра,Россия,ZetaLED MA14924,1037,СНиП 23-05-95
Кухня,domestic,8,2.7,1716,203,1624,1,Потолочный,3432,Кухня,Россия,Зенит HP19788,1716,СП 52.13330.2016
Кафе,administrative,78,12.6,33007,324,37402,11,Потолочный,3170,Кафе,Китай,Юпитер GR4525,2060,СП 52.13330.2016
Аварийный выход,outdoor,11,0.0,178,50,550,1,Аварийный,380,Аварийный выход,Китай,Андромеда DB2715,123,ГОСТ Р 55710-2013
Лестничная клетка,outdoor,50,0.0,652,37,1850,5,Аварийный,366,Лестничная клетка,Россия,Oculus CS11600,100,СП 52.13330.2016
Холодильный склад,industrial,146,8.7,23381,153,28704,1,Прожектор,15438,Холодильный склад,Турция,Osram JO8162,21613,СП 52.13330.2016
Конференц-зал,administrative,129,12.8,50663,376,72270,27,Потолочный,2663,Конференц-зал,Италия,OptiLight TK18961,1464,СП 52.13330.2016
Гостиная,domestic,35,2.7,3032,188,6580,1,Подвесной,3919,Гостиная,Корея,HomeLight IR10158,2547,СП 52.13330.2016
Производственные (общее),industrial,695,7.5,372205,257,218803,9,Промышленный (High-bay),23330,Производственные (общее),Китай,Osram IH16003,40827,СП 52.13330.2016
Зал кинотеатра,administrative,369,4.7,9615,46,18416,5,Потолочный,3452,Зал кинотеатра,Тайвань,ProLED UZ3659,1898,СНиП 23-05-95
Спальня,domestic,11,2.7,532,158,1738,2,Настенный (бра),701,Спальня,Италия,EcoLight FR14150,189,СП 52.13330.2016
Зал кинотеатра,administrative,481,3.5,14573,48,23665,9,Потолочный,2518,Зал кинотеатра,Корея,ProLED BY7890,1384,СНиП 23-05-95
Жилое помещение,domestic,19,2.6,1691,180,3420,1,Потолочный,2563,Жилое помещение,Корея,LumenPro GW8851,1409,СанПиН 2.2.1
Гостиная,domestic,16,2.9,1536,205,3280,1,Потолочный,2684,Гостиная,Тайвань,LumenPro IU3010,1476,СП 52.13330.2016
Цех деревообработки,industrial,539,7.0,469035,298,192746,9,Промышленный (High-bay),20942,Цех деревообработки,Китай,Osram JM10896,36648,СП 52.13330.2016
Парковка,outdoor,535,0.0,18859,45,24075,1,Прожектор,14367,Парковка,Франция,SafeExit AV13738,17240,СП 52.13330.2016
Холодильный склад,industrial,245,11.7,54293,157,55197,2,Прожектор,19430,Холодильный склад,Италия,LuxPro CA7049,25259,СП 52.13330.2016
Офис,administrative,77,3.3,34534,538,42047,12,Подвесной,3372,Офис,Германия,OptiLight WJ9967,2410,СП 52.13330.2016
Производственные (грубые работы),industrial,1082,9.7,361302,170,245559,16,Прожектор,15131,Производственные (грубые работы),Корея,TechnoLight SU18932,19670,СП 52.13330.2016
Санузел,domestic,4,2.8,1941,46,184,1,Потолочный,3299,Санузел,Россия,Зенит NM7868,1649,СП 52.13330.2016
Кухня,domestic,19,2.6,1950,197,3743,1,Встраиваемый,2033,Кухня,Китай,LumenPro SB2119,1341,СП 52.13330.2016
Цех (ресторан/столовая),administrative,136,10.2,67845,329,60851,13,Пылевлагозащищённый (IP65),4645,Цех (ресторан/столовая),США,OptiLight RZ14370,4598,СП 52.13330.2016
Конференц-зал,administrative,77,6.0,25571,430,38076,18,Встраиваемый,2034,Конференц-зал,Франция,ПроСвет OH10621,1220,СП 52.13330.2016
Стадион,outdoor,15150,0.0,5308399,193,2923950,346,Консольный,8448,Стадион,Германия,SafeExit AA9745,11151,СНиП 23-05-95
Сад/парк,outdoor,1500,0.0,62349,30,45000,5,Консольный,8673,Сад/парк,Китай,MarketLED CO8860,9540,СП 52.13330.2016
Кафе,administrative,45,12.4,15871,325,21498,6,Потолочный,3268,Кафе,Корея,MaxLight LE14660,1960,СП 52.13330.2016
Обеденный зал (ресторан/столовая),administrative,113,5.2,20905,208,26089,6,Подвесной,3949,Обеденный зал (ресторан/столовая),Турция,ProLED LD4893,2823,СНиП 23-05-95
Зал театра,administrative,540,5.7,73548,209,128096,91,Настенный линейный,1399,Зал театра,Франция,MaxLight ZY19953,755,СНиП 23-05-95
Кухня,domestic,20,2.5,2077,183,3660,1,Встраиваемый,2597,Кухня,Турция,EcoLight CB8043,1402,СП 52.13330.2016
Производственные (грубые работы),industrial,590,10.8,345998,180,147618,12,Взрывозащищённый,11878,Производственные (грубые работы),Россия,Феникс SO916,21380,СП 52.13330.2016
Спальня,domestic,18,2.8,2085,157,2826,1,Потолочный,2810,Спальня,Китай,LumenPro FH15582,1545,СП 52.13330.2016
Концертный зал,administrative,922,5.5,288707,329,341255,101,Подвесной,3348,Концертный зал,Россия,Юпитер BY11666,2829,СНиП 23-05-95
Жилое помещение,domestic,24,2.7,1416,198,4752,1,Потолочный,2610,Жилое помещение,Италия,HomeLight BY7764,1305,СанПиН 2.2.1
Улица,outdoor,764,0.0,76104,94,71816,10,Парковый фонарь,6754,Улица,Турция,MarketLED ZN938,5740,СП 52.13330.2016
Производственные (грубые работы),industrial,931,4.9,318232,193,196752,13,Прожектор,14302,Производственные (грубые работы),Турция,Philips MS196,21453,СП 52.13330.2016
Гостиная,domestic,17,2.6,1794,205,3485,1,Потолочный,2601,Гостиная,США,HomeLight CP9510,1300,СП 52.13330.2016
Жилое помещение,domestic,20,2.8,2048,186,3720,1,Потолочный,3243,Жилое помещение,Германия,HomeLight VT10499,1621,СанПиН 2.2.1
Фойе театра/кинотеатра,administrative,130,3.2,10349,145,19038,6,Потолочный,2847,Фойе театра/кинотеатра,США,OptiLight BV3287,1565,СП 52.13330.2016
Стадион,outdoor,6778,0.0,2299320,216,1464048,106,Прожектор,13810,Стадион,Италия,Oculus DF8070,15191,СНиП 23-05-95
Балкон/лоджия,domestic,9,2.8,805,101,909,1,Настенный линейный,1542,Балкон/лоджия,Турция,HomeLight ZS15399,693,СП 52.13330.2016
Холодильный склад,industrial,236,6.7,63238,135,37754,2,Прожектор,16243,Холодильный склад,Турция,Osram DS5552,22740,СП 52.13330.2016
Производственные (точные работы),industrial,311,5.3,255739,471,163326,6,Промышленный (High-bay),24459,Производственные (точные работы),Тайвань,СветТех MK17236,36688,СП 52.13330.2016
Фойе театра/кинотеатра,administrative,170,9.9,18971,139,31782,11,Потолочный,2797,Фойе театра/кинотеатра,США,ПроСвет OO6295,1398,СП 52.13330.2016
Торговый зал,industrial,128,10.3,145518,751,131214,34,Подвесной,3852,Торговый зал,Италия,СветТех JI11841,3004,СНиП 23-05-95
Цех (ресторан/столовая),administrative,133,11.5,64534,280,53067,15,Пылевлагозащищённый (IP65),3420,Цех (ресторан/столовая),Корея,ПроСвет LG2919,3078,СП 52.13330.2016
Балкон/лоджия,domestic,8,2.6,703,104,832,1,Настенный линейный,1331,Балкон/лоджия,Россия,LumenPro BU4306,658,СП 52.13330.2016
Коридор (общественный),outdoor,99,0.0,2255,71,7029,25,Аварийный,280,Коридор (общественный),Корея,SafeExit AX1492,84,СП 52.13330.2016
Жилое помещение,domestic,14,2.9,1294,183,2562,1,Потолочный,2824,Жилое помещение,Турция,EcoLight PF1020,1270,СанПиН 2.2.1
Жилое помещение,domestic,21,2.9,1765,198,4158,1,Потолочный,3276,Жилое помещение,Тайвань,ЭРА JA4956,1310,СанПиН 2.2.1
Зал театра,administrative,569,4.5,110735,208,127228,39,Потолочный,3196,Зал театра,Турция,ZetaLED AT12076,1917,СНиП 23-05-95
Электромонтажный цех,industrial,275,4.9,360478,400,120450,11,Взрывозащищённый,10415,Электромонтажный цех,Корея,Philips CY8744,23433,СП 52.13330.2016
Спальня,domestic,20,2.6,852,144,2880,2,Настенный (бра),997,Спальня,США,HomeLight PH1231,299,СП 52.13330.2016
Лестничная клетка,outdoor,40,0.0,1155,38,1520,1,Настенный линейный,1932,Лестничная клетка,Германия,Oculus AR9437,956,СП 52.13330.2016
Коридор (общественный),outdoor,58,0.0,1952,82,4756,17,Аварийный,270,Коридор (общественный),Россия,Плутон KP9579,81,СП 52.13330.2016
Коридор (общественный),outdoor,54,0.0,1639,77,4158,12,Аварийный,323,Коридор (общественный),США,Плутон IZ10883,96,СП 52.13330.2016
Парковка,outdoor,391,0.0,15916,45,17595,1,Консольный,10190,Парковка,Франция,MarketLED UC15303,11209,СП 52.13330.2016
Торговый зал,industrial,62,10.9,59032,762,65905,18,Подвесной,3550,Торговый зал,Турция,Osram JO11875,3230,СНиП 23-05-95
Улица,outdoor,733,0.0,120493,108,79164,9,Консольный,8141,Улица,Франция,MarketLED OZ14928,8955,СП 52.13330.2016
Улица,outdoor,320,0.0,31440,94,30080,5,Парковый фонарь,5960,Улица,Италия,SafeExit IT13385,6079,СП 52.13330.2016
Электромонтажный цех,industrial,359,10.1,315379,411,199928,46,Пылевлагозащищённый (IP65),4263,Электромонтажный цех,Корея,Феникс MH11152,4604,СП 52.13330.2016
Лестничная клетка,outdoor,14,0.0,824,33,462,1,Настенный линейный,1510,Лестничная клетка,Германия,StreetLine PL9161,747,СП 52.13330.2016
Балкон/лоджия,domestic,9,2.7,699,99,891,1,Настенный линейный,1185,Балкон/лоджия,США,HomeLight AN8523,533,СП 52.13330.2016
Производственные (грубые работы),industrial,681,8.8,214583,162,142315,10,Прожектор,13996,Производственные (грубые работы),США,TechnoLight FJ5669,18194,СП 52.13330.2016
Коридор (жилой),domestic,8,3.0,778,27,216,1,Настенный линейный,1087,Коридор (жилой),Россия,LumenPro YV5414,538,СП 52.13330.2016
Кафе,administrative,79,11.4,32406,326,36570,11,Подвесной,3196,Кафе,Тайвань,ProLED JB17262,2285,СП 52.13330.2016
Школа (класс),administrative,67,8.7,30258,419,36073,11,Встраиваемый,3160,Школа (класс),Тайвань,ZetaLED ZG3219,2275,СП 52.13330.2016
Больница (палата),administrative,18,11.7,3131,209,5398,3,Настенный линейный,1481,Больница (палата),Корея,ZetaLED KZ15490,799,СП 52.13330.2016
Кафе,administrative,102,6.8,26646,287,34836,12,Потолочный,2754,Кафе,Германия,ProLED BS14162,1514,СП 52.13330.2016
Производственные (грубые работы),industrial,637,4.9,313760,197,137410,15,Взрывозащищённый,8673,Производственные (грубые работы),Франция,LuxPro QQ18631,16912,СП 52.13330.2016
Балкон/лоджия,domestic,7,2.9,2721,104,728,1,Пылевлагозащищённый (IP65),2893,Балкон/лоджия,Турция,Зенит JV9781,2603,СП 52.13330.2016
Обеденный зал (ресторан/столовая),administrative,124,10.4,19380,219,37203,10,Потолочный,3409,Обеденный зал (ресторан/столовая),Турция,OptiLight GD10534,1874,СНиП 23-05-95
Улица,outdoor,351,0.0,49566,103,36153,8,Парковый фонарь,4497,Улица,Китай,SafeExit TN10400,4586,СП 52.13330.2016
Больница (палата),administrative,17,11.0,2836,185,4403,2,Настенный линейный,1623,Больница (палата),Франция,Юпитер AG5333,949,СП 52.13330.2016
Улица,outdoor,56,0.0,7469,107,5992,1,Парковый фонарь,5457,Улица,Тайвань,Андромеда DG13788,6029,СП 52.13330.2016
Сцена театра,administrative,196,12.4,358574,925,266511,15,Прожектор,17626,Сцена театра,Турция,ПроСвет XH17646,17626,СНиП 23-05-95
Электромонтажный цех,industrial,314,6.0,303804,437,157800,12,Взрывозащищённый,12981,Электромонтажный цех,Германия,TechnoLight JK4577,25312,СП 52.13330.2016
Лестничная клетка,outdoor,42,0.0,489,36,1512,6,Аварийный,237,Лестничная клетка,США,MarketLED SZ13562,59,СП 52.13330.2016
Больница (палата),administrative,17,4.9,2708,203,3778,1,Потолочный,3181,Больница (палата),Италия,MaxLight LT2094,1908,СП 52.13330.2016
Склад,industrial,539,8.6,326601,194,133844,8,Промышленный (High-bay),16174,Склад,США,Osram UE7021,28304,СП 52.13330.2016
Склад,industrial,575,4.1,174955,184,111619,10,Прожектор,10443,Склад,Тайвань,LuxPro SO9284,13575,СП 52.13330.2016
Кафе,administrative,145,9.4,47411,315,60291,18,Подвесной,3207,Кафе,Китай,ПроСвет YT12424,2084,СП 52.13330.2016
Больница (палата),administrative,26,7.3,4412,198,6254,4,Настенный линейный,1266,Больница (палата),Италия,Юпитер RW17724,740,СП 52.13330.2016
Обеденный зал (ресторан/столовая),administrative,195,6.9,33473,190,44274,11,Подвесной,3864,Обеденный зал (ресторан/столовая),Корея,ZetaLED SG18268,3013,СНиП 23-05-95
Санузел,domestic,2,3.0,2881,47,94,1,Пылевлагозащищённый (IP65),2591,Санузел,Корея,Зенит ET8656,2331,СП 52.13330.2016
Торговый зал,industrial,33,11.8,39992,801,38063,12,Встраиваемый,3130,Торговый зал,Германия,Osram RP563,2629,СНиП 23-05-95
Улица,outdoor,537,0.0,66751,104,55848,4,Консольный,11677,Улица,Италия,StreetLine IJ12706,14129,СП 52.13330.2016
Обеденный зал (ресторан/столовая),administrative,166,9.2,28412,202,43926,13,Потолочный,3205,Обеденный зал (ресторан/столовая),Китай,OptiLight AX5899,1762,СНиП 23-05-95
Жилое помещение,domestic,23,3.0,1996,197,4531,1,Потолочный,3065,Жилое помещение,Турция,EcoLight CR3208,1379,СанПиН 2.2.1
Офис,administrative,50,12.2,36848,484,35332,11,Подвесной,3008,Офис,Франция,MaxLight FN18155,2346,СП 52.13330.2016
Школа (класс),administrative,64,3.4,13940,420,27417,7,Потолочный,3473,Школа (класс),Корея,ProLED ZC6801,1910,СП 52.13330.2016
Фойе театра/кинотеатра,administrative,171,11.3,43325,159,38472,12,Подвесной,3145,Фойе театра/кинотеатра,Германия,Юпитер LB12935,2657,СП 52.13330.2016
Стадион,outdoor,6297,0.0,1616673,206,1297182,107,Прожектор,12121,Стадион,Италия,MarketLED WJ11073,12121,СНиП 23-05-95
Кафе,administrative,130,2.9,32486,319,41470,10,Подвесной,3982,Кафе,Россия,ZetaLED ZT15817,3105,СП 52.13330.2016
Зал кинотеатра,administrative,445,9.6,15362,49,29000,8,Потолочный,3332,Зал кинотеатра,Россия,ProLED IM210,1832,СНиП 23-05-95
Больница (палата),administrative,28,12.2,5775,196,8012,3,Потолочный,2602,Больница (палата),Италия,ProLED TJ13863,1431,СП 52.13330.2016
Производственные (грубые работы),industrial,406,4.0,144462,172,73323,4,Прожектор,17454,Производственные (грубые работы),Франция,Osram PI2812,24435,СП 52.13330.2016
Коридор (общественный),outdoor,79,0.0,1587,67,5293,14,Аварийный,355,Коридор (общественный),Франция,StreetLine XG5384,97,СП 52.13330.2016
Цех (ресторан/столовая),administrative,66,4.4,30444,278,19632,1,Промышленный (High-bay),18222,Цех (ресторан/столовая),Италия,ПроСвет GF4463,22777,СП 52.13330.2016
Гостиная,domestic,17,2.7,2154,194,3298,1,Подвесной,3403,Гостиная,Франция,EcoLight YD15687,1990,СП 52.13330.2016
Кафе,administrative,56,6.6,15266,299,19757,5,Подвесной,3888,Кафе,Корея,OptiLight JX17576,2779,СП 52.13330.2016
Обеденный зал (ресторан/столовая),administrative,162,8.8,32853,180,37616,11,Потолочный,3293,Обеденный зал (ресторан/столовая),Германия,Юпитер CR5302,2140,СНиП 23-05-95
Парковка,outdoor,495,0.0,22802,47,23265,1,Прожектор,18641,Парковка,Корея,Oculus MO8756,20505,СП 52.13330.2016
Жилое помещение,domestic,18,2.9,1858,204,3672,1,Потолочный,3238,Жилое помещение,Корея,HomeLight OB10653,1619,СанПиН 2.2.1
Производственные (точные работы),industrial,578,10.6,606402,468,373295,15,Промышленный (High-bay),23632,Производственные (точные работы),Тайвань,СветТех SZ6732,35448,СП 52.13330.2016
Парковка,outdoor,1789,0.0,119096,46,82294,9,Консольный,8858,Парковка,Германия,StreetLine MD6903,10718,СП 52.13330.2016
Производственные (точные работы),industrial,164,8.1,104040,453,93236,38,Встраиваемый,2448,Производственные (точные работы),Италия,TechnoLight XR13203,1909,СП 52.13330.2016
Парковка,outdoor,1674,0.0,130477,45,75330,8,Консольный,9136,Парковка,США,StreetLine TR427,11054,СП 52.13330.2016
Музейный зал,administrative,369,12.6,182859,390,212986,58,Подвесной,3631,Музейный зал,Италия,OptiLight JI2495,2596,СП 52.13330.2016
Парковка,outdoor,1718,0.0,96168,47,80746,9,Консольный,8728,Парковка,Франция,Oculus MZ16894,10560,СП 52.13330.2016
Балкон/лоджия,domestic,3,2.8,5540,90,270,1,Пылевлагозащищённый (IP65),4402,Балкон/лоджия,Франция,LumenPro RF17882,4357,СП 52.13330.2016
Выставочный зал,administrative,886,10.9,625572,515,636524,192,Подвесной,3312,Выставочный зал,Тайвань,ZetaLED QQ11856,2583,СП 52.13330.2016
Больница (палата),administrative,29,10.3,4274,196,7758,4,Настенный линейный,1808,Больница (палата),Франция,ZetaLED XG7744,976,СП 52.13330.2016
Производственные (точные работы),industrial,573,12.0,281346,458,380529,128,Встраиваемый,2952,Производственные (точные работы),Тайвань,Феникс UE5128,2125,СП 52.13330.2016
Спальня,domestic,24,3.0,2313,150,3600,1,Потолочный,3204,Спальня,Россия,Зенит AU6873,1602,СП 52.13330.2016
Холодильный склад,industrial,268,6.5,60158,162,51013,13,Пылевлагозащищённый (IP65),3658,Холодильный склад,США,LuxPro VY4592,4279,СП 52.13330.2016
Электромонтажный цех,industrial,366,10.2,294787,372,185166,58,Пылевлагозащищённый (IP65),3167,Электромонтажный цех,Китай,СветТех WE18762,3420,СП 52.13330.2016
Производственные (грубые работы),industrial,426,11.3,141361,170,102474,6,Прожектор,15476,Производственные (грубые работы),Россия,Osram YY13480,21666,СП 52.13330.2016
Стадион,outdoor,6822,0.0,2187464,199,1357578,142,Консольный,9535,Стадион,Франция,Oculus EX17697,11537,СНиП 23-05-95
Музейный зал,administrative,494,5.9,182215,417,235867,69,Встраиваемый,3398,Музейный зал,Россия,OptiLight XR8240,2242,СП 52.13330.2016
Гостиная,domestic,39,2.6,2949,197,7683,2,Потолочный,3268,Гостиная,Китай,ЭРА ED14032,1307,СП 52.13330.2016
Сцена театра,administrative,164,5.3,154371,1034,189077,63,Потолочный,2972,Сцена театра,Россия,MaxLight GI3983,1783,СНиП 23-05-95
Обеденный зал (ресторан/столовая),administrative,99,4.7,15714,187,20086,6,Подвесной,3213,Обеденный зал (ресторан/столовая),Германия,MaxLight GL3504,2506,СНиП 23-05-95
Коридор (жилой),domestic,23,2.7,237,29,667,1,Настенный (бра),773,Коридор (жилой),Германия,EcoLight KB4223,208,СП 52.13330.2016
Гостиная,domestic,29,2.7,4163,201,5829,1,Подвесной,3990,Гостиная,Китай,BrightLine HL14854,2852,СП 52.13330.2016
Коридор (жилой),domestic,9,2.8,980,28,252,1,Настенный линейный,1872,Коридор (жилой),Тайвань,BrightLine LI12756,926,СП 52.13330.2016
Выставочный зал,administrative,571,9.1,330885,496,369596,116,Встраиваемый,3177,Выставочный зал,Россия,MaxLight WW16418,2287,СП 52.13330.2016
Обеденный зал (ресторан/столовая),administrative,194,7.8,50502,210,50517,14,Подвесной,3548,Обеденный зал (ресторан/столовая),Турция,OptiLight EJ6261,2536,СНиП 23-05-95
Жилое помещение,domestic,26,2.8,1475,201,5226,5,Настенный (бра),957,Жилое помещение,Корея,EcoLight YR6333,258,СанПиН 2.2.1
Производственные (точные работы),industrial,117,9.5,115107,438,67900,3,Промышленный (High-bay),17059,Производственные (точные работы),Корея,LuxPro GE12081,27720,СП 52.13330.2016
Концертный зал,administrative,807,11.9,597606,298,347502,21,Прожектор,16546,Концертный зал,Китай,ZetaLED IK4756,19855,СНиП 23-05-95
Жилое помещение,domestic,24,2.6,1479,194,4656,1,Потолочный,2887,Жилое помещение,Германия,ЭРА BP14667,1154,СанПиН 2.2.1
Зал кинотеатра,administrative,219,5.8,9298,50,12482,4,Потолочный,2929,Зал кинотеатра,Турция,MaxLight LW12025,1757,СНиП 23-05-95
Склад,industrial,986,8.2,542746,193,239775,11,Промышленный (High-bay),20838,Склад,Германия,Osram DQ16983,36466,СП 52.13330.2016
Стадион,outdoor,18989,0.0,5757158,205,3892745,360,Консольный,10799,Стадион,Франция,Oculus YX7815,13066,СНиП 23-05-95
Жилое помещение,domestic,22,2.7,1175,196,4312,7,Настенный (бра),573,Жилое помещение,Тайвань,ЭРА IH17303,137,СанПиН 2.2.1
Библиотека,administrative,66,10.6,20861,314,28599,8,Потолочный,3405,Библиотека,Турция,ZetaLED FW18562,2043,СП 52.13330.2016
Обеденный зал (ресторан/столовая),administrative,109,3.7,15423,184,20757,7,Потолочный,2749,Обеденный зал (ресторан/столовая),Китай,OptiLight OT8765,1511,СНиП 23-05-95
Библиотека,administrative,173,6.4,58320,285,57686,19,Подвесной,3001,Библиотека,Турция,OptiLight WC17738,2145,СП 52.13330.2016
Стадион,outdoor,10385,0.0,2877210,191,1983535,158,Прожектор,12525,Стадион,Турция,Плутон LC17217,15030,СНиП 23-05-95
Производственные (общее),industrial,697,10.0,595645,262,246528,15,Промышленный (High-bay),16165,Производственные (общее),США,Philips VC3472,30309,СП 52.13330.2016
Электромонтажный цех,industrial,245,5.3,220142,368,100528,9,Взрывозащищённый,10651,Электромонтажный цех,США,СветТех NV12305,19171,СП 52.13330.2016
Концертный зал,administrative,982,11.2,305895,285,394616,109,Подвесной,3590,Концертный зал,Турция,ZetaLED XA4683,2800,СНиП 23-05-95
Улица,outdoor,186,0.0,26549,103,19158,2,Консольный,8397,Улица,Россия,StreetLine KT17469,10160,СП 52.13330.2016
